County,COVID Hospitalizations
ALACHUA,148
BAKER,34
BAY,83
BRADFORD,0
BREVARD,114
BROWARD,"1,232"
CALHOUN,0
CHARLOTTE,55
CITRUS,24
CLAY,77
COLLIER,132
COLUMBIA,38
DESOTO,4
DUVAL,469
ESCAMBIA,202
FLAGLER,21
FRANKLIN,0
GADSDEN,61
GULF,6
HARDEE,0
HENDRY,8
HERNANDO,64
HIGHLANDS,57
HILLSBOROUGH,460
HOLMES,0
INDIAN RIVER,23
JACKSON,16
LAKE,89
LEE,168
LEON,78
MADISON,0
MANATEE,120
MARION,106
MARTIN,35
MIAMI-DADE,"1,827"
MONROE,12
NASSAU,5
OKALOOSA,53
OKEECHOBEE,12
ORANGE,459
OSCEOLA,146
PALM BEACH,532
PASCO,90
PINELLAS,372
POLK,278
PUTNAM,15
SANTA ROSA,27
SARASOTA,133
SEMINOLE,125
ST. JOHNS,32
ST. LUCIE,170
SUMTER,35
SUWANNEE,0
TAYLOR,0
UNION,0
VOLUSIA,133
WALTON,11
WASHINGTON,4
All,"8,395"
